Symbol, Company Name, Market Cap, Overall Rating, Sector, Industry, Valuation Grade, Profitability Grade, Growth Grade, Performance Grade, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, Net Margin, Operating Margin, Gross Margin, ROE, ROA, EPS This Y, EPS Next Y, EPS Next 5 Years, Sales Q/Q, EPS Q/Q, Perf Month, Perf Quarter, Perf Half Y, Perf YTD, Perf Year, SMA20, SMA50, SMA200, Dividend Yield, Inst Trans, Inst Own, Insider Own, Insider Trans, Target Price, Prev Close, Price Projection, RSI, Short Float, 52W High, 52W Low, Current Ratio, Earnings Date
AEE, Ameren Corporation, 17.62B,69, Utilities, Electric Utilities, B, B, B-, C-,18.89,4.37,2.98,2.19,10.57,14,21.4,85,10.5,2.9,1.1,9.24,4.9,-7.3,37.8,-17.69,-5.76,-8.99,-6.68,-0.79,-5.8,-13.1,-10.6,2.7,-0.37,77.1,0.6,-3.74,75,71.6,4.748603352,44.5,1.35,-21.32,17.42,0.6, Feb 26 BMO
AEP, American Electric Power Company Inc., 37.27B,59, Utilities, Electric Utilities, B+, B, C-, D-,16.48,3.21,2.39,1.93,13.18,12.3,16.7,79.7,9.8,2.6,0.1,7.05,6.17,-4.9,-56.4,-23.07,-17.84,-16.65,-18.75,-7.38,-12.4,-22.5,-21.5,3.6,0.22,77.7,0.1,-22.83,98.1,76.7,27.90091265,37.1,1.7,-31,11.19,0.4, Feb 20 BMO
AES, The AES Corporation, 8.70B,45, Utilities, Electric Utilities, B-, C+, D+, F,8.42,3.27,0.85,2.9,0,3,18.6,23.1,9.6,0.9,-70.6,8.86,8.8,-7.3,-155.8,-26.86,-34.9,-16.94,-34.47,-27.8,-4.8,-28,-28.7,4.2,1.51,97.7,0.3,2.71,18.4,13,41.53846154,38.5,1.49,-42.13,51.48,1, Feb 28 BMO
AFL, Aflac Incorporated, 23.24B,62, Financial, Accident & Health Insurance, A-, B-, B+, F,6.89,2.64,1.04,0.81,4.96,14.8,20.9,0,11.7,2.2,16.7,4.12,2.73,8.2,52.3,-28.55,-40.34,-37.07,-39.83,-34.72,-1.1,-25,-35.9,3.5,-2.45,65.2,0.3,-2.11,48.5,31.8,52.51572327,42.3,2.27,-43.35,40.4,0, May 05 AMC
AGN, Allergan plc, 59.27B,71, Healthcare, Drugs - Generic, B+, D+, B, B,9.87,0,3.68,1,10.06,-32.8,-27.6,84.6,-8.9,-5.5,-4.7,8.16,3.4,6.6,92.5,-9.39,-7.65,7.34,-7.13,21.84,0,-5.7,0,1.6,3.09,94.6,0.1,0,193.3,177.5,8.901408451,46.9,4.57,-12.96,54.03,1, May 11 BMO
AIG, American International Group Inc., 20.02B,55, Financial, Property & Casualty Insurance, B+, C+, B-, F,4.15,0.81,0.4,0.29,0,6.7,13.4,0,5.2,0.6,-3.5,15.58,7.11,-6.3,239.4,-50.05,-58.95,-60.26,-58.6,-51.56,-19.6,-48,-59.2,6.02,-0.16,94.3,0.1,0,56.8,21.2,167.9245283,31.7,1.85,-65.04,27.63,0, Feb 13 BMO
AIV, Apartment Investment and Management Company, 4.63B,44, Financial, REIT - Residential, B-, A-, F, F,92.92,1.38,5.07,2.6,40.09,51,17.1,66,26.6,7.2,-27.4,-37.55,7.1,-76.3,-79.3,-39.13,-38.28,-39.89,-39.55,-38.7,-15.9,-33.9,-39.3,5.25,0.34,0,0.6,-16.39,52.6,31.2,68.58974359,35.4,2.2,-44.97,24.91,0, Apr 30 AMC
AIZ, Assurant Inc., 6.02B,74, Financial, Accident & Health Insurance, A, C+, A, D-,9.27,0.92,0.6,1.08,5.23,3.6,8.1,0,6.5,0.8,45.9,14.74,19.4,12.6,522.3,-21.12,-24.4,-18,-23.66,4.83,-1.1,-17.6,-19.4,2.5,-2.22,98.2,0.6,-5.93,154.6,100,54.6,43,3.42,-30.76,29.47,0, Feb 11 AMC
AJG, Arthur J. Gallagher & Co., 15.05B,64, Financial, Insurance Brokers, B+, B-, C+, D,17.04,1.87,2.09,2.86,22.82,9.3,11.2,32.9,13.5,3.5,2,12.35,11.93,3.9,-43.8,-25.85,-17.54,-8.77,-17.29,0.5,-8.3,-20.6,-17.9,2.2,0.66,85,0.3,-16.11,105.8,78.7,34.43456163,39.7,1.57,-31.07,15.92,1, Apr 30 AMC
AKAM, Akamai Technologies Inc., 15.70B,82, Technology, Internet Information Providers, B-, B, A-, B,17.53,4.5,5.43,4.12,22.48,16.5,19,65.9,13.8,8,63,9.06,7.12,8.2,23.1,-1.88,6.25,3.62,7.8,26.78,7.7,2.9,7.8,0,-0.04,92.4,0.2,-19.96,106.2,93.1,14.07089151,55.2,3.74,-7.6,32.02,3.2, Feb 11 AMC
ALB, Albemarle Corporation, 6.27B,57, Basic Materials, Specialty Chemicals, B+, B, C+, F,9.96,0.71,1.75,1.45,0,14.9,17.3,35.1,14,6.3,-18.3,16.26,15,7.7,-17.1,-37.8,-26.1,-19.39,-26.53,-36.28,-14.8,-30.1,-24.4,2.8,-2.15,94.9,0.4,-11.61,79.5,53.6,48.32089552,35.1,15.01,-46.6,8.57,1.6, Feb 19 AMC
ALGN, Align Technology Inc., 12.96B,71, Healthcare, Medical Appliances & Equipment, B+, A-, A-, F,18.1,1.4,5.39,8.88,21.69,18.4,22.5,72.5,33.5,18.8,12.4,33,19.57,21.7,27,-35.21,-46.39,-15.4,-45.5,-47.43,-12.6,-30.9,-33.9,0,3.18,88.1,0.8,-6.3,280.4,152,84.47368421,37.8,4.91,-53.92,20.57,1.7, Apr 29 AMC
ALK, Alaska Air Group Inc., 3.30B,73, Services, Regional Airlines, A+, B, A, F,3.99,0.25,0.38,0.7,2.38,8.8,12.1,56.1,18.9,6,75.5,146.69,16.11,7.9,683.7,-50.37,-63.83,-60.68,-63.6,-57.33,-23.5,-50.5,-60,6.08,0.49,90.5,0.3,-2.62,60.1,24.6,144.3089431,29,4.65,-65.88,23.08,0.6, Apr 28 AMC
ALL, The Allstate Corporation, 27.51B,68, Financial, Property & Casualty Insurance, A-, B-, B+, F,7.79,2.73,0.62,1.16,6.8,10.5,13.6,0,20.6,3.9,149.8,5.82,2.23,21,406.4,-25.08,-23.96,-18.77,-23.71,-10.3,-1,-19,-19.5,2.5,-1.51,80.6,0.3,0,122.1,85.7,42.47374562,42.7,1.56,-31.69,34.12,0, May 05 AMC
ALLE, Allegion plc, 8.26B,60, Services, Security & Protection Services, B, B+, C, F,15.76,2.39,2.89,10.37,25.65,14.1,18.7,43.9,58.7,14,-1.3,8.88,8.31,2.4,-25.9,-32.11,-32.67,-15.78,-32.21,-9.7,-14.2,-28.1,-25,1.5,0.39,0,0.5,-35.42,110.7,84.4,31.16113744,35.5,4.41,-39.8,8.34,2, Apr 23 BMO
ALXN, Alexion Pharmaceuticals Inc., 20.51B,85, Healthcare, Biotechnology, A, A, B+, D+,7.43,0.64,4.11,1.77,10.63,48.2,42.5,92.1,23.2,15.8,4.8,10.09,13.1,22.6,675.8,-7.07,-16.22,-7.31,-16.46,-35.46,6.3,-4.7,-15.7,0,-1.56,94.5,0.2,110.13,141,90.3,56.1461794,52,2.15,-36.6,23.76,4.3, Apr 30 BMO
AMAT, Applied Materials Inc., 43.37B,76, Technology, Semiconductor Equipment & Materials, A, A-, B, D-,9.59,0.72,2.89,4.58,19.54,18.8,23.2,43.8,34.1,14.8,-29.8,14.7,19.9,10.9,24.3,-28.55,-30.48,-12.58,-29.16,1.91,-8.3,-24,-20.9,2,0.94,83.9,0.6,-14.92,68.3,43.2,58.10185185,41.1,2.05,-39.23,15.17,2.4, Apr 27 AMC
AMD, Advanced Micro Devices Inc., 53.07B,64, Technology, Semiconductor - Broad Line, D, B-, B+, C+,28.12,4.39,7.88,17.94,192.27,5.1,6.8,42.6,15.7,6.4,-11,40.37,35.07,49.9,187.4,-11.22,-9.39,57.15,-2.99,53.31,-2.4,-10.7,10.9,0,1.85,76.1,0.6,-16.34,49.6,44.4,11.71171171,45.7,5.82,-28.15,63.6,1.9, Apr 28 AMC
AME, AMETEK Inc., 16.61B,64, Industrial Goods, Diversified Machinery, B, B, B, F,16,4.21,3.22,3.18,18.78,16.7,22.8,34.7,18,9.3,14,7.89,4.5,2.6,11.2,-21.89,-29.47,-17.62,-28.72,-15.7,0.1,-17.7,-21.6,1,0.35,89,0.3,-19.49,98.1,71,38.16901408,44.4,0.86,-30.51,29.7,1.4, May 06 BMO
AMG, Affiliated Managers Group Inc., 2.74B,54, Financial, Asset Management, B+, C+, C+, F,4.06,0,1.22,0.94,3.22,0.7,31.1,0,0.5,0.2,-93.1,6.22,-0.46,-1.6,114.6,-24.79,-32.47,-25.58,-33.07,-49.99,-2.4,-22.6,-31,2.2,-2.82,0,1.3,3.94,71.8,56.7,26.6313933,42.6,8.79,-52.15,24.84,0, May 04 BMO
AMGN, Amgen Inc., 123.34B,79, Healthcare, Biotechnology, B, A, C+, C+,12.27,2.4,5.28,12.81,24.55,33.6,41.4,81.4,74.3,12.9,2,8.66,6.75,-0.5,-5.2,-2.9,-13,10.4,-13.35,8.27,3.2,-3,-1.6,3,-1.18,80.6,0.2,-2.63,245,208.8,17.33716475,50.3,1.48,-16.07,23.64,1.4, Apr 30 AMC
AMP, Ameriprise Financial Inc., 12.41B,65, Financial, Asset Management, A+, B+, C+, F,4.9,0.58,0.96,2.12,7.33,14.7,19,44.2,32.1,1.3,-1.9,11.53,11.56,-3.2,-5.9,-34.9,-44.42,-30.51,-43.54,-31.13,-11.1,-35.4,-38.5,4.1,-5.31,88.4,0.4,-31.51,168.4,94,79.14893617,38,1.51,-49.99,13.04,0, Apr 29 AMC
AMT, American Tower Corporation (REIT), 99.44B,68, Financial, REIT - Diversified, D-, A-, B+, C+,43.28,2.45,13.12,19.35,85.85,24.9,35.2,70.8,35.8,4.7,53,13.71,21.25,-9.8,102,-12.28,-3.39,0.35,-3.95,13.62,2.6,-4,0.3,1.7,0.19,95.3,0.3,-9.82,257.3,220.7,16.58359764,50.9,0.92,-13.73,27.99,0.5, Feb 25 BMO
AMZN, Amazon.com Inc., 983.05B,76, Services, Catalog & Mail Order Houses, C-, B-, A, B+,48.18,2.77,3.5,15.34,45.4,4.1,5.2,41,21.1,5.8,15.9,39.8,30.08,20.8,12.7,-2.88,1.1,12,3.84,5.39,2.2,-2.3,2.6,0,-0.72,57.6,11.2,-3.43,2412,1918.8,25.70356473,49.6,0.83,-12.9,17.09,1.1, Apr 30 AMC
ANET, Arista Networks Inc., 15.56B,76, Technology, Diversified Computer Systems, B-, A, B+, D+,19.64,3.74,6.46,5.12,16.43,35.7,33.4,64.1,32.8,23.6,157.2,17.14,4.88,-7.3,49,-3.73,-5.19,-14.99,-4.57,-39.67,6.2,-5.5,-12.6,0,-0.39,62.1,0.1,-58.48,208.9,194.1,7.6249356,50.7,3.72,-41.22,24.32,5.8, Feb 13 AMC
ANSS, ANSYS Inc., 19.19B,68, Technology, Application Software, C-, A-, B+, C-,30.12,5.83,12.66,5.33,42.17,29.8,34,89,15.2,11.8,6.9,12.21,7.1,17,6.4,-16.69,-16.71,0.07,-16.01,14.67,-1.3,-14.1,-6.2,0,1.56,0,0.6,-7.25,253.9,216.2,17.43755782,44.9,2.96,-26.9,25.45,2.2, Feb 26 AMC
ANTM, Anthem Inc., 56.38B,70, Healthcare, Health Care Plans, A, C+, A, F,8.26,0.7,0.54,1.69,13.53,4.6,6.5,0,15.5,6.3,31.1,13.7,16.3,17.3,140.7,-28.69,-29.74,-11.14,-30.01,-26.51,-12.4,-22.3,-25.8,1.8,1.39,94.4,0.1,-11.36,342.5,211.3,62.09181259,40.2,1.76,-34.99,18.78,0, Apr 29 BMO
AON, Aon plc, 36.40B,68, Financial, Insurance Brokers, B, B, B+, F,13.55,2.08,3.3,10.94,30.33,13.9,19.8,0,39.6,5.3,37.1,12.08,11.88,4.2,6.3,-30.26,-24.68,-15.45,-24.5,-8.96,-7.6,-23,-21.6,1.1,3.12,94.2,0.7,-4.89,227.8,157.2,44.91094148,35.8,1.75,-34.9,7.73,1.1, May 01 BMO
AOS, A. O. Smith Corporation, 5.89B,60, Industrial Goods, Industrial Electrical Equipment, B+, B+, D+, D-,14.16,2.02,1.97,3.51,24.28,12.4,15.8,39.5,21.8,11.9,-14,14.58,8,-7.6,-24.9,-11.41,-24.76,-20.47,-24.56,-34.06,-5.8,-12.3,-21.3,2.6,0.42,0,0.4,-1.71,43.3,35.9,20.61281337,41.1,6.66,-36.53,6.37,2, Apr 28 BMO
APA, Apache Corporation, 2.10B,37, Basic Materials, Independent Oil & Gas, B-, D, C-, F,0,0,0.33,0.54,0.97,-56.3,-42.3,77.1,-61.5,-17.1,0,44.9,0,-4.6,0,-81.34,-81.51,-79.78,-81.67,-85.81,-19.5,-72.1,-76.8,2.1,0.22,0,0.2,0,15.6,4.6,239.1304348,27.9,4.84,-86,40.39,1.1, Feb 26 AMC
APD, Air Products and Chemicals Inc., 44.74B,70, Basic Materials, Chemicals - Major Diversified, B-, B+, B, D+,18.72,1.84,5,3.72,0,21.1,25.1,33.9,16.7,9.8,2.9,12.18,12.38,1.4,42.5,-18,-15.85,-7.59,-17.23,1.45,-5.4,-16.7,-16.9,2.7,1.65,87.4,0.3,0.03,249.4,194.5,28.22622108,42.3,1.22,-27.08,11.93,2.6, Apr 23 BMO
APH, Amphenol Corporation, 21.85B,57, Technology, Diversified Electronics, B, B+, C, F,17.29,3.01,2.66,4.51,23.55,14,19.5,31.8,27.2,10.9,-9.2,14.12,6.1,-3.3,-12.1,-29.11,-37.05,-26.37,-36.47,-31.87,-9.2,-24.2,-28.6,1.4,1,97.9,0.2,-50.95,98.5,68.7,43.37700146,35.4,1.01,-37.71,8.91,2, Apr 22 BMO
ATO, Atmos Energy Corporation, 11.77B,58, Utilities, Gas Utilities, C+, C, B-, D+,19.4,3.08,4.06,1.92,0,0,0,71.9,0,0,8.8,7.24,7.1,-0.3,9.1,-13.76,-11.79,-12.67,-12.95,-4.08,-3.8,-13.2,-13.8,2.3,2.68,86.2,1.1,-0.3,115.1,97.3,18.29393628,44.5,4.26,-22.16,20.96,1, May 05 AMC
ATVI, Activision Blizzard Inc., 47.38B,77, Technology, Multimedia & Graphics Software, C+, B+, B-, B,21.56,3.54,7.3,3.65,27.63,23.2,24.8,67.7,12.4,8.2,-0.3,14.69,8.82,-16.6,51.1,-2.83,3.63,16.33,2.29,27.56,5.6,1.3,10,0.6,-0.26,92.6,0.5,-4.89,68.1,60.7,12.19110379,54.2,2.65,-7.02,43.4,2.5, May 07 AMC
AVB, AvalonBay Communities Inc., 17.94B,48, Financial, REIT - Residential, C+, B+, C-, F,26.07,9.5,7.72,1.72,37.62,33.7,27,67,7.2,4.1,-20.1,7.32,2.54,2.6,-57,-37.84,-34.69,-37.05,-35.46,-33.12,-18.3,-32.6,-36.2,4.7,-0.02,95.8,0.3,-8.16,215,135.3,58.90613452,35.4,1.53,-42.37,11.87,0, May 06 AMC
AVGO, Broadcom Inc., 99.90B,56, Technology, Semiconductor - Broad Line, B+, B, C-, F,9.91,3.17,4.41,3.87,20.36,11.2,15.9,55.4,10.9,3.5,-44.3,10.12,12.35,1.2,-36.5,-16.95,-26.47,-12.22,-24.99,-22.07,5.5,-13.5,-18.6,5.48,-0.64,86.8,0.2,-42.22,293.9,237,24.00843882,48.3,1.08,-29.1,51.02,1.6, Mar 12 AMC
AVY, Avery Dennison Corporation, 8.12B,60, Consumer Goods, Business Equipment, B, B-, B-, F,13.15,2.87,1.15,6.64,24.07,4.3,3.5,26.9,28.1,5.6,-32.8,7.85,9.37,0.2,70.5,-21.24,-25.84,-12.35,-26.69,-15.34,-8.8,-21.6,-22.1,2.4,-0.26,91.7,0.5,-6.21,129.8,95.9,35.34932221,39,1.64,-33.63,21.67,1, Apr 29 BMO
AWK, American Water Works Company Inc., 21.29B,65, Utilities, Water Utilities, C, B+, C+, C,27.77,4.18,5.9,3.48,0,17.2,32.3,57.2,10.2,2.8,6.7,9.97,8.2,6.1,-22.7,-16.16,-2.13,-4.47,-4.24,13.08,-6.3,-12.4,-7.9,1.7,1.65,90.2,0.2,-5.42,135.9,117.6,15.56122449,44.8,2.28,-19.92,23.35,0.6, Feb 18 AMC
AXP, American Express Company, 64.95B,69, Financial, Credit Services, A, B+, B+, F,8.4,1.01,1.44,2.7,6.1,14.7,18.7,68.5,29,3.4,9.1,13.12,9.49,8,17.5,-33.74,-39.09,-32.08,-38.42,-30.66,-15.6,-34.1,-38.4,2.2,-1.1,86.8,0.1,-11.16,112.8,76.6,47.25848564,35.8,1.09,-46.83,9.63,0, Apr 24 BMO
AZO, AutoZone Inc., 19.29B,62, Services, Auto Parts Stores, B+, B-, B+, F,11.12,1.23,1.6,0,13.1,13.4,18.5,53.7,-95.5,14.3,50.9,9.97,9.85,2.6,11.1,-24.91,-33.21,-24.52,-33.3,-24,-11.7,-20.6,-28.1,0,-2.13,97.9,0.3,-41.82,1180,794.6,48.50239114,39.6,2.64,-37.87,15.6,0.9, Mar 03 BMO
BA, The Boeing Company, 77.52B,37, Industrial Goods, Aerospace/Defense Products & Services, C+, C, C-, F,9.05,0,0.91,0,0,-0.8,-2.3,15,14.3,-0.5,-106.3,631.58,43.42,-27.5,-130,-56.46,-63.02,-66.44,-62.16,-67.96,-19.2,-50.8,-62.2,0,-1.13,68.5,0.1,0,194.3,123.2,57.71103896,34.1,1.69,-68.89,39.35,1.1, Apr 29 BMO
BAC, Bank of America Corporation, 188.77B,66, Financial, Money Center Banks, A, B+, B-, F,6.92,1.19,2.65,0.77,3.38,36.5,63.6,0,10.6,1.1,5.6,8.35,6.28,-5.1,5.6,-27.54,-42.28,-26.11,-41.6,-28.68,-7.1,-29.1,-33.7,3.5,-0.77,73.6,0.1,-0.5,33.3,20.5,62.43902439,38.9,1.12,-44.01,11.42,0, Apr 15 BMO
BAX, Baxter International Inc., 41.90B,63, Healthcare, Medical Instruments & Supplies, C+, B-, C, C+,20.65,5.12,3.69,5.28,42.54,8.8,9,42.2,13,5.8,-36.9,13.41,10.42,7.3,-168.8,-9.71,-4.25,-2.39,-1.67,1.67,3.6,-4.6,-3.5,1,-0.2,87.5,0.2,-0.51,91.7,82.2,11.55717762,50.4,1.26,-14.11,18.09,2.3, Mar 17 BMO
BBY, Best Buy Co. Inc., 13.65B,63, Services, Electronics Stores, A, B-, B-, F,8.15,1.15,0.31,3.97,10.54,3.5,4.6,23,46.5,9.9,8.8,8.89,7.95,2.7,4.8,-34.39,-39.57,-18.86,-39.91,-27.27,-9.9,-29,-28.2,4.1,0.06,81.7,0.5,-66.65,83.1,52.7,57.68500949,36.3,3.14,-41.74,11.4,1.1, Feb 27 BMO
BDX, Becton Dickinson and Company, 64.07B,64, Healthcare, Medical Instruments & Supplies, B-, C+, C+, C-,17.57,12.33,3.69,2.98,28.99,4.4,7.9,47.8,3.6,1.5,24.4,11.35,7.9,1.6,-60.9,-5.6,-14.41,-5.89,-14.23,-6.46,1,-7.6,-10.3,1.3,0.41,88.4,0.2,-24.77,273.8,233.2,17.40994854,47,1.82,-20.75,14.9,1, May 07 BMO
BEN, Franklin Resources Inc., 8.38B,52, Financial, Asset Management, B-, B, C, F,7.43,0,1.45,0.79,0,21.8,26.6,0,12.6,8.6,-26.3,-6,-3.78,0.1,30.6,-31.43,-37.29,-40.65,-38.18,-53,-12.7,-28.6,-42.1,6.72,-1.12,51,40.4,-0.19,21,16,31.25,35.6,11.56,-56.21,2.58,0, Apr 30 BMO
BF-B, Brown-Forman Corporation, 25.94B,59, Consumer Goods, Beverages - Wineries & Distillers, D, A, C+, D+,30.47,9.14,7.63,13.01,88.85,25.3,33.3,63.4,47.3,15.9,-5.4,1.64,3.45,-0.6,17.1,-15.37,-18.52,-11.7,-19.17,3.76,2.3,-11.5,-10.7,1.2,0.88,52.2,0.3,0,57.1,54.6,4.578754579,47.8,3.33,-23.87,24.13,4.5, Mar 04 BMO
BIIB, Biogen Inc., 54.46B,91, Healthcare, Biotechnology, B+, A+, B+, B,9.37,3.06,3.79,4.06,8.3,41,49,86.4,43.5,21.9,44.8,-0.17,3.16,4.1,66.7,-7.3,3.48,37.61,2.61,31.58,1.9,-1.9,11.4,0,-5.29,90.4,0.1,-1.91,335.3,304.4,10.15111695,49.2,2.06,-19.78,39.4,1.7, Apr 22 BMO
