Symbol, Company Name, Market Cap, Overall Rating, Sector, Industry, Valuation Grade, Profitability Grade, Growth Grade, Performance Grade, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, Net Margin, Operating Margin, Gross Margin, ROE, ROA, EPS This Y, EPS Next Y, EPS Next 5 Years, Sales Q/Q, EPS Q/Q, Perf Month, Perf Quarter, Perf Half Y, Perf YTD, Perf Year, SMA20, SMA50, SMA200, Dividend Yield, Inst Trans, Inst Own, Insider Own, Insider Trans, Target Price, Prev Close, Price Projection, RSI, Short Float, 52W High, 52W Low, Current Ratio, Earnings Date
ADI, Analog Devices Inc., 38.85B, 66, Technology, Semiconductors, B-, C-, C+, B, 20.52, 4.69, 6.75, 3.32, 0, 0, 0, 66.4, 0, 0, 690.0, 19.66, 6.95, -15.4, -42.3, 5.02, -11.26, -6.86, -11.23, -2.22, 0.2, 6.7, -3.9, 2.3, 1.42, 91.4, 0.1, -24.56, 117.5, 103.8, 13.198458574181121, 52.1, 1.48, -17.13, 33.4, 1.1, May 20 BMO
ADM, Archer-Daniels-Midland Company, 19.23B, 64, ConsumerDefensive, Farm Products, B-, C+, C, B-, 10.28, 0, 0.3, 1.01, 0, 2.4, 2.1, 6.5, 8.1, 3.5, -19.9, 17.96, -8.8, -2.2, 57.0, -3.75, -24.54, -21.0, -26.3, -16.64, -4.4, -2.9, -15.2, 4.2, -0.27, 80.8, 0.4, -2.19, 46.7, 33.8, 38.165680473372795, 44.3, 1.39, -27.63, 18.12, 1.5, Apr 29 AMC
ADP, Automatic Data Processing Inc., 58.70B, 75, Industrials, Staffing & Employment Services, C-, A-, B-, B+, 23.58, 1.9, 3.99, 10.57, 42.58, 17.2, 21.9, 42.9, 46.8, 5.9, 12.3, -0.17, 12.2, 5.7, 10.1, -1.95, -25.07, -18.88, -20.85, -15.32, -4.7, -2.3, -15.7, 2.7, 0.36, 82.3, 0.1, -31.94, 156.0, 134.5, 15.985130111524162, 44.2, 1.31, -25.98, 30.88, 1.0, Apr 29 BMO
ADS, Alliance Data Systems Corporation, 1.87B, 52, Financial, Credit Services, B, D+, B-, D-, 3.06, 0.87, 0.33, 1.72, 0, 0, 0, 55.9, 0, 0, -37.0, 63.25, 5.6, 3.6, -81.2, 14.08, -61.95, -63.79, -64.9, -72.93, -7.3, -5.8, -59.7, 2.1, 0.8, 97.0, 2.4, 3.4, 55.0, 37.0, 48.64864864864865, 48.0, 6.5, -75.3, 92.0, 2.0, Apr 23 BMO
ADSK, Autodesk Inc., 38.93B, 75, Technology, Software - Application, C, B-, B+, B+, 31.05, 0, 11.89, 0, 28.58, 6.6, 10.5, 90.1, -114.4, 4.1, 327.8, 38.85, 0, 22.0, 165.6, 5.16, -14.28, 12.53, -3.05, 2.63, -0.9, 7.7, 6.4, 0, 0.82, 97.5, 0.2, -1.27, 204.7, 176.8, 15.780542986425324, 52.2, 1.67, -15.93, 41.86, 0.8, May 28 AMC
AEE, Ameren Corporation, 16.90B, 79, Utilities, Utilities - Regulated Electric, B-, B+, B-, B, 18.27, 3.51, 2.86, 2.1, 10.14, 14.0, 21.4, 85.0, 10.5, 2.9, 1.1, 9.42, 5.85, -7.3, 37.8, -8.98, -19.86, -7.39, -10.52, -6.78, -5.5, -6.9, -10.5, 2.8, 0.56, 77.0, 0.6, -3.74, 84.7, 68.3, 24.011713030746716, 40.3, 5.15, -21.6, 16.99, 0.6, May 11 AMC
AEP, American Electric Power Company Inc., 38.09B, 76, Utilities, Utilities - Regulated Electric, B-, B, B-, B, 16.87, 3.52, 2.5, 1.95, 14.45, 12.1, 16.8, 79.7, 9.4, 2.5, 0.1, 8.15, 5.95, -7.6, -13.6, -6.59, -24.06, -11.75, -17.36, -8.17, -4.8, -5.8, -14.3, 3.5, 0.76, 76.6, 0.1, -25.29, 96.3, 77.7, 23.938223938223928, 40.0, 1.43, -25.6, 19.9, 0.5, May 06 BMO
AES, The AES Corporation, 7.85B, 55, Utilities, Utilities - Diversified, C+, C+, C+, D, 7.54, 3.51, 0.79, 3.09, 0, 3.0, 18.7, 23.0, 9.9, 0.9, -70.6, 10.82, 7.7, -11.8, -6.6, -6.86, -43.25, -34.55, -40.6, -27.13, -7.6, -10.1, -29.1, 4.8, 0.18, 97.9, 0.3, 2.72, 17.4, 11.6, 49.99999999999999, 43.8, 1.1, -44.32, 45.75, 1.1, May 07 BMO
AFL, Aflac Incorporated, 23.25B, 64, Financial, Insurance - Life, B, B-, C+, D+, 7.35, 4.38, 1.06, 0.9, 5.11, 13.5, 19.0, 0, 10.4, 1.9, 16.7, 2.67, 1.88, -8.8, -36.6, -8.36, -37.55, -39.3, -38.07, -36.15, -8.5, -6.3, -31.5, 3.4, -1.05, 64.8, 0.3, -2.7, 41.8, 31.9, 31.034482758620683, 43.5, 1.57, -42.71, 42.0, 0, Apr 29 AMC
AGN, Allergan plc, 63.64B, 80, Healthcare, Drug Manufacturers - General, B+, B, B-, B+, 10.88, 0, 3.95, 1.1, 13.32, -15.4, -21.3, 83.9, -4.2, -2.7, -4.7, 10.09, 2.9, 0.2, 115.7, 6.59, -2.05, 8.1, 0.97, 37.62, 2.6, 5.5, 7.6, 1.5, 3.27, 97.3, 0.1, 0, 188.3, 193.0, -2.4352331606217557, 60.2, 4.56, -4.55, 68.92, 1.0, -
AIG, American International Group Inc., 22.52B, 67, Financial, Insurance - Diversified, B+, C+, B, D+, 5.59, 1.05, 0.43, 0.38, 0, 8.5, 15.7, 0, 6.9, 0.8, -18.5, 66.05, 4.97, 15.2, 166.0, 6.98, -49.42, -53.51, -49.81, -50.32, 4.5, 0.8, -44.0, 4.9, 0.95, 96.0, 0.1, 2.34, 38.3, 24.9, 53.8152610441767, 53.2, 1.56, -56.09, 60.3, 0, May 04 AMC
AIV, Apartment Investment and Management Company, 4.98B, 56, RealEstate, REIT - Residential, C, C-, C, B, 118.13, 1.48, 5.45, 2.8, 0, 0, 0, 66.0, 0, 0, -27.4, 9.23, 7.1, -76.3, -79.3, -10.49, -38.02, -36.48, -35.04, -32.99, -8.2, -9.5, -30.8, 4.8, -0.43, 0, 0.6, -16.39, 44.4, 34.2, 29.82456140350876, 40.6, 1.99, -39.74, 36.77, 0, May 07 AMC
AIZ, Assurant Inc., 5.32B, 74, Financial, Insurance - Specialty, A-, C, A-, C-, 8.48, 0.83, 0.52, 0.96, 4.73, 2.6, 6.4, 0, 4.7, 0.6, 45.9, 15.95, 19.4, 12.6, 522.3, -12.19, -36.55, -31.82, -32.06, -6.9, -12.3, -13.0, -26.7, 2.8, 0.24, 98.2, 0.6, -5.98, 144.6, 87.7, 64.88027366020523, 36.3, 3.54, -37.56, 16.76, 0, May 05 AMC
AJG, Arthur J. Gallagher & Co., 16.32B, 65, Financial, Insurance Brokers, C-, C+, C+, B, 20.71, 3.47, 2.31, 3.25, 18.84, 9.6, 12.2, 33.6, 13.7, 3.5, 2.0, 6.29, 7.16, -6.2, -2.5, 3.4, -20.06, -5.47, -9.18, 4.57, 7.0, 4.5, -4.7, 2.0, -1.16, 84.0, 0.3, -16.28, 94.4, 85.8, 10.023310023310033, 56.6, 1.33, -20.98, 32.88, 1.1, Apr 30 AMC
AKAM, Akamai Technologies Inc., 15.71B, 87, Technology, Software - Infrastructure, B+, A-, B-, B+, 18.17, 2.87, 5.32, 4.3, 21.85, 15.3, 18.1, 65.6, 13.1, 7.6, 63.0, 8.58, 11.27, 8.2, 23.1, -3.15, -2.38, 14.77, 12.56, 26.9, -3.6, 2.2, 6.6, 0, 1.41, 93.3, 0.2, -21.76, 112.2, 95.3, 17.73347324239245, 48.4, 3.63, -10.18, 32.85, 3.2, Apr 28 AMC
ALB, Albemarle Corporation, 6.33B, 81, BasicMaterials, Specialty Chemicals, B-, A, B, B, 12.32, 0.83, 1.81, 1.61, 0, 16.4, 18.4, 34.8, 15.0, 6.7, -18.3, 16.38, 15.0, 7.7, -17.1, 2.51, -32.09, -8.57, -18.25, -14.19, -1.3, -3.9, -13.0, 2.5, -0.44, 92.9, 0.4, -12.64, 70.3, 59.9, 17.36227045075125, 46.7, 13.88, -39.93, 22.13, 1.6, May 06 AMC
ALGN, Align Technology Inc., 16.50B, 87, Healthcare, Medical Devices, B+, A, B+, C+, 29.95, 0.5, 6.85, 5.68, 34.42, 78.4, 21.8, 72.1, 109.9, 67.7, 12.4, 130.64, 17.42, 0.4, 2013.0, 12.11, -24.5, -20.42, -26.14, -36.73, 1.8, 8.6, -7.5, 0, 0.28, 87.2, 0.5, -1.56, 242.8, 200.9, 20.856147336983575, 54.0, 7.0, -38.41, 61.16, 1.7, Apr 29 AMC
ALK, Alaska Air Group Inc., 3.22B, 75, Industrials, Airlines, B+, B+, B+, C-, 9.26, 0, 0.38, 0.74, 2.52, 7.2, 10.0, 55.5, 15.0, 4.7, 75.5, 175.0, -1.04, 7.9, 683.7, -13.1, -60.69, -63.1, -61.42, -57.49, -9.8, -15.6, -53.9, 0, -0.24, 90.3, 0.3, 0, 44.7, 25.5, 75.29411764705884, 41.7, 2.28, -63.81, 30.57, 0.6, May 05 BMO
ALL, The Allstate Corporation, 29.52B, 71, Financial, Insurance - Property & Casualty, B, B, C+, C+, 8.68, 0, 0.67, 1.34, 6.75, 9.0, 11.7, 0, 17.2, 3.3, 149.8, -5.15, -0.74, -8.4, -57.4, -4.1, -24.8, -14.72, -16.48, -1.64, -7.0, -1.1, -11.8, 2.3, -0.2, 80.9, 0.3, -42.19, 116.2, 92.0, 26.30434782608696, 43.6, 1.12, -25.41, 46.45, 0, May 05 AMC
ALLE, Allegion plc, 8.67B, 72, Industrials, Security & Protection Services, D+, A, C+, B+, 21.1, 7.69, 3.02, 14.2, 23.95, 11.2, 15.9, 44.1, 47.5, 11.3, -1.3, 7.75, 3.56, 3.0, -99.5, -0.94, -31.62, -18.42, -24.87, -6.83, -3.9, -4.5, -15.0, 1.3, 0.46, 0, 0.5, -31.34, 96.7, 93.6, 3.311965811965821, 43.2, 5.07, -32.8, 20.94, 2.0, Apr 23 BMO
ALXN, Alexion Pharmaceuticals Inc., 22.36B, 91, Healthcare, Biotechnology, A, A+, B-, B, 8.64, 0.74, 4.22, 1.9, 10.78, 44.8, 43.4, 92.1, 21.8, 14.6, 4.6, 7.13, 12.8, 26.7, -3.9, 4.11, -2.42, -7.79, -6.69, -21.41, -2.2, 7.0, -2.4, 0, 0.95, 94.8, 0.2, 112.82, 139.4, 102.4, 36.1328125, 53.0, 2.06, -25.16, 38.87, 4.3, May 06 BMO
AMAT, Applied Materials Inc., 49.86B, 87, Technology, Semiconductor Equipment & Materials, B+, A-, B-, B, 12.54, 0.94, 3.32, 5.76, 22.47, 18.8, 23.2, 43.8, 34.1, 14.8, -29.8, 14.91, 19.1, 10.9, 24.3, 8.06, -19.21, -3.53, -10.83, 31.16, 6.5, 10.9, 0.7, 1.6, 2.0, 85.4, 0.6, -16.1, 65.4, 51.4, 27.237354085603126, 57.9, 1.95, -21.62, 48.55, 2.4, May 14 AMC
AMCR, Amcor plc, 14.67B, 60, ConsumerCyclical, Packaging & Containers, C, D+, B-, B, 13.61, 13.88, 1.32, 2.75, 0, 0, 0, 19.1, 0, 0, -26.7, 6.88, 2.06, 34.5, 35.3, 5.09, -10.53, -7.53, -16.14, 0, 4.4, 9.8, -5.9, 5.06, 1.38, 32.8, 0.1, 10.52, 9.5, 9.1, 4.3956043956043995, 61.0, 2.34, -22.77, 56.72, 1.2, May 11 AMC
AMD, Advanced Micro Devices Inc., 63.78B, 80, Technology, Semiconductors, C-, B+, A-, A-, 36.0, 3.79, 8.8, 20.97, 147.97, 6.7, 8.3, 43.7, 19.6, 8.8, -11.0, 46.42, 35.34, 40.4, 804.6, -0.87, -0.04, 48.49, 18.86, 97.64, 0.6, 11.2, 32.0, 0, 2.84, 78.2, 0.6, -16.54, 53.3, 52.1, 2.3032629558541187, 56.1, 6.06, -8.03, 109.41, 2.2, Apr 28 AMC
AME, AMETEK Inc., 18.03B, 75, Industrials, Specialty Industrial Machinery, C, A-, C+, B+, 19.12, 0, 3.55, 3.39, 18.9, 18.5, 25.0, 34.9, 18.8, 9.7, 14.0, 14.36, -1.2, -6.6, 36.1, 3.55, -22.37, -18.18, -21.04, -8.18, -1.4, 3.4, -11.7, 0.9, 0.21, 89.1, 0.3, -6.03, 89.7, 77.9, 15.147625160462125, 50.9, 1.19, -23.03, 43.65, 1.9, May 05 BMO
AMGN, Amgen Inc., 140.41B, 85, Healthcare, Drug Manufacturers - General, B, A, B-, B+, 14.03, 3.14, 5.86, 14.8, 26.79, 32.0, 39.9, 79.9, 75.1, 12.8, 2.0, 9.0, 5.95, 10.9, -3.4, 7.29, 6.7, 7.53, -1.28, 40.1, 1.1, 9.7, 10.2, 2.6, -0.24, 79.0, 0.1, -4.66, 252.2, 236.8, 6.503378378378369, 56.6, 1.3, -2.86, 43.1, 1.6, Apr 30 AMC
AMP, Ameriprise Financial Inc., 15.82B, 75, Financial, Asset Management, B+, B-, B-, C+, 7.22, 0.39, 1.24, 2.76, 4.93, 15.4, 20.2, 62.8, 33.4, 1.3, -1.9, 6.39, 11.56, -3.2, -5.9, 17.71, -31.28, -22.84, -26.4, -13.81, 8.7, 12.8, -13.6, 3.1, -0.08, 88.2, 0.4, -31.38, 136.8, 117.3, 16.624040920716123, 58.3, 2.1, -32.21, 53.23, 0, May 06 AMC
AMT, American Tower Corporation (REIT), 101.73B, 80, RealEstate, REIT - Specialty, D+, A-, B+, A, 47.12, 3.18, 13.11, 28.0, 92.33, 24.6, 35.5, 71.3, 39.3, 4.7, 53.0, 16.44, 16.89, 9.9, 4.1, -7.22, -10.62, 11.06, -0.09, 14.54, -5.0, -1.2, 1.1, 1.7, -0.29, 94.4, 0.3, -1.82, 267.3, 231.1, 15.664214625703165, 43.7, 0.88, -11.83, 31.72, 0.5, Apr 29 BMO
AMZN, Amazon.com Inc., 1185.49B, 74, ConsumerCyclical, Internet Retail, D-, B, B+, A, 63.74, 3.36, 4.0, 18.23, 61.22, 3.6, 4.8, 40.6, 17.8, 5.0, 15.9, 98.82, 34.0, 26.4, -29.4, 3.52, 11.12, 34.36, 29.28, 27.67, 0.8, 13.4, 25.5, 0, 0.53, 57.7, 11.2, -3.55, 2645.6, 2367.9, 11.727691203175802, 60.0, 1.17, -3.48, 46.91, 1.1, Apr 30 AMC
ANET, Arista Networks Inc., 15.02B, 86, Technology, Computer Hardware, B+, A, B-, B, 21.43, 2.63, 6.42, 5.5, 15.42, 34.1, 32.5, 64.2, 29.2, 20.8, 157.2, 13.57, 7.91, -12.2, -30.0, 0.69, -13.48, 5.99, 1.08, -17.33, -3.8, 2.8, -4.4, 0, 0, 62.6, 0.1, -62.34, 208.4, 213.7, -2.480112306972383, 48.6, 4.88, -28.97, 31.26, 5.8, May 05 AMC
ANSS, ANSYS Inc., 21.40B, 78, Technology, Software - Application, C+, A, C+, B+, 36.39, 7.47, 14.23, 6.57, 47.47, 27.3, 30.2, 87.9, 13.2, 10.0, 6.9, 14.89, 7.1, -3.8, -46.9, -0.72, -13.55, 9.53, -2.04, 34.88, -3.3, 4.2, 5.1, 0, 0.24, 0, 0.5, -9.78, 256.0, 252.1, 1.547005156683858, 47.6, 2.85, -15.69, 44.71, 2.4, May 06 AMC
ANTM, Anthem Inc., 68.98B, 86, Healthcare, Healthcare Plans, A, B+, B, B, 10.87, 1.03, 0.63, 2.18, 13.67, 4.4, 6.3, 0, 15.2, 6.1, 31.1, 13.17, 14.33, 20.3, 0.5, 9.11, -8.56, -3.66, -9.52, 5.66, 1.5, 9.4, 1.5, 1.3, 0.35, 92.7, 0.1, -19.11, 330.5, 267.8, 23.412994772218067, 55.4, 1.32, -12.54, 59.78, 0, Apr 29 BMO
AON, Aon Plc, 45.52B, 72, Financial, Insurance Brokers, D+, B, B, B+, 17.81, 3.11, 4.1, 13.49, 36.65, 13.6, 19.4, 0, 38.8, 5.2, 37.1, 10.28, 8.97, 4.2, 6.3, 5.43, -17.33, -0.55, -6.89, 8.41, 6.9, 9.2, -1.0, 0.9, 2.87, 93.4, 0.6, -5.16, 212.0, 190.2, 11.461619348054686, 61.1, 3.91, -18.58, 34.74, 1.1, May 01 BMO
AOS, A. O. Smith Corporation, 6.28B, 79, Industrials, Specialty Industrial Machinery, C+, A-, C+, B+, 18.3, 2.51, 2.18, 4.03, 22.31, 11.5, 14.9, 39.1, 20.0, 10.8, -14.0, 26.28, 8.0, -14.9, -39.9, 0.5, -8.45, -22.61, -15.45, -16.33, -3.4, 0.9, -10.7, 2.3, 0.44, 0, 0.7, -0.6, 40.8, 39.9, 2.2556390977443574, 45.6, 7.42, -23.44, 19.15, 2.1, May 05 BMO
APA, Apache Corporation, 3.92B, 46, Energy, Oil & Gas E&amp;P, C, D+, C-, C-, 0, 0, 0.66, 0, 1.81, 0, 0, 74.5, -215.0, -42.8, 0, 48.1, 0, -25.3, 0, 30.48, -62.89, -56.47, -59.52, -66.76, -4.3, 13.4, -49.8, 0.9, -0.47, 99.9, 0.2, 4.56, 10.5, 10.7, -1.8691588785046664, 52.3, 13.15, -69.32, 172.63, 0.9, May 06 AMC
APD, Air Products and Chemicals Inc., 49.91B, 74, BasicMaterials, Chemicals, D, A, B-, B+, 22.9, 2.66, 5.56, 4.39, 0, 21.7, 25.7, 34.2, 17.1, 10.0, 2.9, 17.09, 9.62, 1.3, 16.3, 5.52, -11.48, -4.81, -3.99, 10.05, 1.5, 6.9, 0.4, 2.3, -0.02, 86.0, 0.3, 0.03, 244.2, 225.8, 8.148804251550033, 54.0, 1.05, -12.21, 34.75, 2.6, Apr 23 BMO
APH, Amphenol Corporation, 24.77B, 76, Technology, Electronic Components, B, A-, C+, B-, 22.67, 7.82, 3.05, 5.65, 25.36, 13.9, 19.0, 31.3, 26.2, 10.2, -9.2, 24.63, 2.9, -4.9, -8.9, 3.62, -20.21, -17.96, -23.05, -10.69, -2.2, 3.3, -11.7, 1.2, 0.76, 99.3, 0.2, -2.94, 93.8, 81.8, 14.66992665036675, 50.2, 1.12, -24.46, 32.09, 2.5, Apr 22 BMO
APTV, Aptiv PLC, 16.14B, 84, ConsumerCyclical, Auto Parts, B, A-, B, B, 14.69, 1.31, 1.15, 3.25, 22.26, 16.6, 18.5, 18.1, 58.5, 16.7, -7.0, 117.83, 5.33, -9.8, 564.5, 3.75, -30.24, -33.65, -33.51, -15.84, -1.6, 6.1, -22.5, 0, 1.64, 99.9, 0.5, -0.64, 73.8, 60.7, 21.5815485996705, 51.6, 1.99, -36.24, 116.12, 1.7, May 05 BMO
ARE, Alexandria Real Estate Equities Inc., 17.67B, 69, RealEstate, REIT - Office, D+, B-, C+, A, 49.85, 661.63, 10.96, 1.83, 0, 15.1, 23.7, 70.7, 2.9, 1.4, -11.5, 14.59, 0.1, 22.6, -87.6, -7.55, -19.04, -9.18, -13.03, -3.44, -7.0, -3.2, -8.8, 2.9, 1.57, 0, 1.4, -8.62, 172.7, 143.4, 20.43235704323569, 41.0, 4.15, -20.04, 28.67, 0, Apr 27 AMC
ATO, Atmos Energy Corporation, 11.49B, 72, Utilities, Utilities - Regulated Gas, C, A-, C+, B-, 18.91, 2.9, 4.13, 1.85, 0, 20.0, 28.6, 76.3, 9.3, 4.0, 8.8, 7.36, 7.15, -50.4, -38.5, -10.78, -20.59, -11.32, -15.17, -5.81, -6.4, -5.7, -12.6, 2.4, 1.92, 87.7, 1.0, 0, 116.0, 96.4, 20.33195020746887, 39.4, 3.77, -21.63, 21.78, 0.9, May 06 AMC
ATVI, Activision Blizzard Inc., 56.18B, 86, CommunicationServices, Electronic Gaming & Multimedia, C+, A, B, A, 23.73, 1.57, 8.71, 4.31, 39.79, 24.2, 25.6, 68.4, 12.5, 8.4, -0.3, 11.66, 22.96, -2.0, 12.4, 11.03, 16.57, 40.44, 22.79, 57.65, 6.7, 16.8, 27.4, 0.5, 0.09, 92.5, 0.6, -4.46, 69.7, 73.6, -5.29891304347825, 63.3, 2.07, -3.96, 74.38, 2.8, May 05 AMC
AVB, AvalonBay Communities Inc., 20.91B, 75, RealEstate, REIT - Residential, C+, B+, C+, B+, 30.26, 10.66, 9.0, 1.93, 43.85, 33.7, 27.0, 67.0, 7.2, 4.1, -20.1, 8.61, 2.54, 2.6, -57.0, -5.72, -32.68, -27.34, -27.58, -24.33, -4.9, -6.3, -24.2, 4.1, 1.04, 96.6, 0.3, -7.88, 179.9, 151.0, 19.139072847682122, 41.4, 1.38, -33.8, 28.51, 0, May 06 AMC
AVGO, Broadcom Inc., 106.11B, 79, Technology, Semiconductors, B+, B+, C+, B, 11.23, 3.57, 4.68, 4.35, 21.63, 11.2, 15.9, 55.4, 10.9, 3.5, -44.3, 10.24, 12.35, 1.2, -36.5, 3.56, -17.71, -15.51, -15.64, -12.41, 0.6, 7.9, -6.6, 4.8, 0.1, 85.0, 0.2, -43.76, 296.0, 263.1, 12.504751045229941, 55.8, 1.62, -19.6, 71.26, 1.6, Jun 04 AMC
AVY, Avery Dennison Corporation, 8.51B, 76, Industrials, Business Equipment & Supplies, C+, B+, B-, B+, 15.56, 1.73, 1.21, 7.25, 27.42, 8.3, 10.1, 27.3, 52.0, 10.4, -32.8, 13.59, 8.55, -1.0, 191.6, -4.45, -26.01, -23.65, -21.86, -0.79, -5.0, -3.5, -14.2, 2.2, 0.62, 92.2, 0.6, -2.96, 117.4, 102.2, 14.872798434442272, 43.2, 1.31, -27.55, 32.82, 1.1, Apr 29 BMO
AWK, American Water Works Company Inc., 21.23B, 73, Utilities, Utilities - Regulated Water, D-, B+, B, A-, 27.46, 4.06, 5.83, 3.37, 0, 17.4, 32.1, 0, 10.3, 2.8, 6.7, 9.97, 8.2, 3.8, 9.7, -10.01, -15.1, 0.77, -5.36, 5.45, -5.6, -5.7, -6.4, 1.8, -0.78, 89.4, 0.2, -5.38, 137.2, 116.5, 17.768240343347628, 39.7, 1.24, -17.95, 26.38, 0.7, May 06 AMC
AXP, American Express Company, 67.63B, 65, Financial, Credit Services, C, B, B, C, 11.74, 2.12, 1.5, 3.22, 0, 12.1, 15.4, 68.9, 24.2, 2.8, 9.1, 134.74, 5.99, -1.2, -77.1, 0.02, -37.67, -30.67, -32.68, -28.77, -2.0, -4.1, -26.2, 2.0, 0.2, 87.0, 0.1, -10.6, 100.5, 78.0, 28.846153846153843, 47.9, 1.39, -39.33, 25.09, 0, Apr 24 BMO
