Symbol, Company Name, Market Cap, Overall Rating, Sector, Industry, Valuation Grade, Profitability Grade, Growth Grade, Performance Grade, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, Net Margin, Operating Margin, Gross Margin, ROE, ROA, EPS This Y, EPS Next Y, EPS Next 5 Years, Sales Q/Q, EPS Q/Q, Perf Month, Perf Quarter, Perf Half Y, Perf YTD, Perf Year, SMA20, SMA50, SMA200, Dividend Yield, Inst Trans, Inst Own, Insider Own, Insider Trans, Target Price, Prev Close, Price Projection, RSI, Short Float, 52W High, 52W Low, Current Ratio, Earnings Date
AFL, Aflac Incorporated, 23.24B, 60, Financial, Accident & Health Insurance, B+, B-, B, F, 6.89, 2.64, 1.04, 0.81, 4.96, 14.8, 20.9, 0, 11.7, 2.2, 16.7, 4.12, 2.73, 8.2, 52.3, -28.55, -40.34, -37.07, -39.83, -34.72, -4.3, -27.0, -37.1, 3.5, -2.45, 65.2, 0.3, -2.11, 48.5, 31.9, 52.03761755485894, 41.4, 2.27, -44.33, 37.97, 0, May 05 AMC
AGN, Allergan plc, 59.27B, 60, Healthcare, Drugs - Generic, B+, D+, B-, D+, 9.87, 0, 3.68, 1.0, 10.06, -32.8, -27.6, 84.6, -8.9, -5.5, -4.7, 8.16, 3.4, 6.6, 92.5, -9.39, -7.65, 7.34, -7.13, 21.84, 0.4, -5.0, 1.1, 1.6, 3.09, 94.6, 0.1, 0, 193.3, 174.9, 10.520297312750145, 48.7, 4.57, -12.2, 55.37, 1.0, May 11 BMO
AIG, American International Group Inc., 20.02B, 55, Financial, Property & Casualty Insurance, B+, C+, B-, F, 4.15, 0.81, 0.4, 0.29, 0, 6.7, 13.4, 0, 5.2, 0.6, -3.5, 15.58, 7.11, -6.3, 239.4, -50.05, -58.95, -60.26, -58.6, -51.56, -19.7, -47.0, -57.8, 6.02, -0.16, 94.3, 0.1, 0, 56.8, 21.6, 162.96296296296293, 33.3, 1.85, -63.77, 32.23, 0, Feb 13 BMO
AIV, Apartment Investment and Management Company, 4.63B, 43, Financial, REIT - Residential, B-, A-, F, F, 92.92, 1.38, 5.07, 2.6, 40.09, 51.0, 17.1, 66.0, 26.6, 7.2, -27.4, -37.55, 7.1, -76.3, -79.3, -39.13, -38.28, -39.89, -39.55, -38.7, -16.5, -33.3, -38.2, 5.25, 0.34, 0, 0.6, -16.39, 52.6, 32.3, 62.8482972136223, 36.2, 2.2, -43.93, 27.27, 0, Apr 30 AMC
AIZ, Assurant Inc., 6.02B, 68, Financial, Accident & Health Insurance, A+, C+, A-, F, 9.27, 0.92, 0.6, 1.08, 5.23, 3.6, 8.1, 0, 6.5, 0.8, 45.9, 14.74, 19.4, 12.6, 522.3, -21.12, -24.4, -18.0, -23.66, 4.83, -0.8, -16.9, -18.4, 2.5, -2.22, 98.2, 0.6, -5.93, 154.6, 102.1, 51.42017629774731, 44.2, 3.42, -29.84, 31.19, 0, Feb 11 AMC
AJG, Arthur J. Gallagher & Co., 15.05B, 57, Financial, Insurance Brokers, B+, B-, C, F, 17.04, 1.87, 2.09, 2.86, 22.82, 9.3, 11.2, 32.9, 13.5, 3.5, 2.0, 12.35, 11.93, 3.9, -43.8, -25.85, -17.54, -8.77, -17.29, 0.5, -5.6, -17.4, -14.4, 2.2, 0.66, 85.0, 0.3, -16.11, 105.8, 77.0, 37.4025974025974, 42.6, 1.57, -28.05, 21.0, 1.0, Apr 30 AMC
AKAM, Akamai Technologies Inc., 15.70B, 75, Technology, Internet Information Providers, B-, B, B+, C, 17.53, 4.5, 5.43, 4.12, 22.48, 16.5, 19.0, 65.9, 13.8, 8.0, 63.0, 9.06, 7.12, 8.2, 23.1, -1.88, 6.25, 3.62, 7.8, 26.78, 5.0, 0.3, 5.2, 0, -0.04, 92.4, 0.2, -19.96, 106.2, 91.6, 15.93886462882097, 52.9, 3.74, -9.89, 28.94, 3.2, Feb 11 AMC
ALB, Albemarle Corporation, 6.27B, 56, Basic Materials, Specialty Chemicals, B+, B, C, F, 9.96, 0.71, 1.75, 1.45, 0, 14.9, 17.3, 35.1, 14.0, 6.3, -18.3, 16.26, 15.0, 7.7, -17.1, -37.8, -26.1, -19.39, -26.53, -36.28, -16.0, -29.8, -23.6, 2.8, -2.15, 94.9, 0.4, -11.61, 79.5, 54.8, 45.072992700729934, 35.2, 15.01, -46.02, 9.76, 1.6, Feb 19 AMC
ALGN, Align Technology Inc., 12.96B, 69, Healthcare, Medical Appliances & Equipment, B+, A-, A-, F, 18.1, 1.4, 5.39, 8.88, 21.69, 18.4, 22.5, 72.5, 33.5, 18.8, 12.4, 33.0, 19.57, 21.7, 27.0, -35.21, -46.39, -15.4, -45.5, -47.43, -15.7, -32.6, -35.0, 0, 3.18, 88.1, 0.8, -6.3, 280.4, 157.2, 78.37150127226464, 37.6, 4.91, -54.56, 18.92, 1.7, Apr 29 AMC
ALK, Alaska Air Group Inc., 3.30B, 71, Services, Regional Airlines, A+, B, A-, F, 3.99, 0.25, 0.38, 0.7, 2.38, 8.8, 12.1, 56.1, 18.9, 6.0, 75.5, 146.69, 16.11, 7.9, 683.7, -50.37, -63.83, -60.68, -63.6, -57.33, -25.6, -51.3, -60.1, 6.08, 0.49, 90.5, 0.3, -2.62, 60.1, 26.3, 128.51711026615968, 29.2, 4.65, -65.85, 23.18, 0.6, Apr 28 AMC
ALL, The Allstate Corporation, 27.51B, 61, Financial, Property & Casualty Insurance, B+, B-, B+, F, 7.79, 2.73, 0.62, 1.16, 6.8, 10.5, 13.6, 0, 20.6, 3.9, 149.8, 5.82, 2.23, 21.0, 406.4, -25.08, -23.96, -18.77, -23.71, -10.3, -2.6, -19.7, -19.8, 2.5, -1.51, 80.6, 0.3, 0, 122.1, 86.4, 41.31944444444443, 43.1, 1.56, -31.87, 33.78, 0, May 05 AMC
ALLE, Allegion plc, 8.26B, 53, Services, Security & Protection Services, B-, B+, C, F, 15.76, 2.39, 2.89, 10.37, 25.65, 14.1, 18.7, 43.9, 58.7, 14.0, -1.3, 8.88, 8.31, 2.4, -25.9, -32.11, -32.67, -15.78, -32.21, -9.7, -15.2, -28.2, -24.5, 1.5, 0.39, 0, 0.5, -35.42, 110.7, 84.5, 31.005917159763317, 35.7, 4.41, -39.37, 9.11, 2.0, Apr 23 BMO
ALXN, Alexion Pharmaceuticals Inc., 20.51B, 79, Healthcare, Biotechnology, A, A, B+, F, 7.43, 0.64, 4.11, 1.77, 10.63, 48.2, 42.5, 92.1, 23.2, 15.8, 4.8, 10.09, 13.1, 22.6, 675.8, -7.07, -16.22, -7.31, -16.46, -35.46, 6.5, -4.7, -15.4, 0, -1.56, 94.5, 0.2, 110.13, 141.0, 89.9, 56.84093437152391, 53.0, 2.15, -36.31, 24.33, 4.3, Apr 30 BMO
AMAT, Applied Materials Inc., 43.37B, 70, Technology, Semiconductor Equipment & Materials, A, A-, B, F, 9.59, 0.72, 2.89, 4.58, 19.54, 18.8, 23.2, 43.8, 34.1, 14.8, -29.8, 14.7, 19.9, 10.9, 24.3, -28.55, -30.48, -12.58, -29.16, 1.91, -7.7, -22.7, -19.0, 2.0, 0.94, 83.9, 0.6, -14.92, 68.3, 43.3, 57.73672055427252, 42.4, 2.05, -37.73, 18.01, 2.4, Apr 27 AMC
AMD, Advanced Micro Devices Inc., 53.07B, 61, Technology, Semiconductor - Broad Line, D, B-, B+, C, 28.12, 4.39, 7.88, 17.94, 192.27, 5.1, 6.8, 42.6, 15.7, 6.4, -11.0, 40.37, 35.07, 49.9, 187.4, -11.22, -9.39, 57.15, -2.99, 53.31, 1.5, -7.0, 16.1, 0, 1.85, 76.1, 0.6, -16.34, 49.6, 43.6, 13.761467889908257, 49.0, 5.82, -24.94, 70.92, 1.9, Apr 28 AMC
AME, AMETEK Inc., 16.61B, 58, Industrial Goods, Diversified Machinery, B, B, B-, F, 16.0, 4.21, 3.22, 3.18, 18.78, 16.7, 22.8, 34.7, 18.0, 9.3, 14.0, 7.89, 4.5, 2.6, 11.2, -21.89, -29.47, -17.62, -28.72, -15.7, -1.1, -18.2, -21.7, 1.0, 0.35, 89.0, 0.3, -19.49, 98.1, 69.8, 40.54441260744986, 44.6, 0.86, -30.52, 29.68, 1.4, May 06 BMO
AMG, Affiliated Managers Group Inc., 2.74B, 53, Financial, Asset Management, B+, C+, C+, F, 4.06, 0, 1.22, 0.94, 3.22, 0.7, 31.1, 0, 0.5, 0.2, -93.1, 6.22, -0.46, -1.6, 114.6, -24.79, -32.47, -25.58, -33.07, -49.99, -1.3, -21.4, -29.5, 2.2, -2.82, 0, 1.3, 3.94, 71.8, 56.1, 27.985739750445624, 44.4, 8.79, -51.0, 27.83, 0, May 04 BMO
AMGN, Amgen Inc., 123.34B, 68, Healthcare, Biotechnology, C+, A, C+, D+, 12.27, 2.4, 5.28, 12.81, 24.55, 33.6, 41.4, 81.4, 74.3, 12.9, 2.0, 8.66, 6.75, -0.5, -5.2, -2.9, -13.0, 10.4, -13.35, 8.27, 4.7, -1.7, 0, 3.0, -1.18, 80.6, 0.2, -2.63, 245.0, 197.8, 23.862487360970672, 52.7, 1.48, -14.74, 25.6, 1.4, Apr 30 AMC
AMP, Ameriprise Financial Inc., 12.41B, 64, Financial, Asset Management, A+, B+, C+, F, 4.9, 0.58, 0.96, 2.12, 7.33, 14.7, 19.0, 44.2, 32.1, 1.3, -1.9, 11.53, 11.56, -3.2, -5.9, -34.9, -44.42, -30.51, -43.54, -31.13, -9.4, -33.6, -36.2, 4.1, -5.31, 88.4, 0.4, -31.51, 168.4, 94.3, 78.57900318133618, 39.7, 1.51, -48.0, 17.55, 0, Apr 29 AMC
AMT, American Tower Corporation (REIT), 99.44B, 60, Financial, REIT - Diversified, D-, A-, B+, D, 43.28, 2.45, 13.12, 19.35, 85.85, 24.9, 35.2, 70.8, 35.8, 4.7, 53.0, 13.71, 21.25, -9.8, 102.0, -12.28, -3.39, 0.35, -3.95, 13.62, 0.9, -5.1, -0.6, 1.7, 0.19, 95.3, 0.3, -9.82, 257.3, 206.9, 24.359594006766557, 50.0, 0.92, -14.64, 26.63, 0.5, Feb 25 BMO
AMZN, Amazon.com Inc., 983.05B, 63, Services, Catalog & Mail Order Houses, D+, B-, A-, C-, 48.18, 2.77, 3.5, 15.34, 45.4, 4.1, 5.2, 41.0, 21.1, 5.8, 15.9, 39.8, 30.08, 20.8, 12.7, -2.88, 1.1, 12.0, 3.84, 5.39, 3.0, -1.5, 3.4, 0, -0.72, 57.6, 11.2, -3.43, 2412.0, 1907.7, 26.43497405252398, 50.7, 0.83, -12.22, 18.01, 1.1, Apr 30 AMC
ANET, Arista Networks Inc., 15.56B, 71, Technology, Diversified Computer Systems, B-, A, B+, D-, 19.64, 3.74, 6.46, 5.12, 16.43, 35.7, 33.4, 64.1, 32.8, 23.6, 157.2, 17.14, 4.88, -7.3, 49.0, -3.73, -5.19, -14.99, -4.57, -39.67, 5.8, -6.0, -13.0, 0, -0.39, 62.1, 0.1, -58.48, 208.9, 192.7, 8.406850025947076, 50.4, 3.72, -41.41, 23.92, 5.8, Feb 13 AMC
ANSS, ANSYS Inc., 19.19B, 62, Technology, Application Software, C-, A-, B, D-, 30.12, 5.83, 12.66, 5.33, 42.17, 29.8, 34.0, 89.0, 15.2, 11.8, 6.9, 12.21, 7.1, 17.0, 6.4, -16.69, -16.71, 0.07, -16.01, 14.67, -3.0, -15.4, -7.2, 0, 1.56, 0, 0.6, -7.25, 253.9, 211.2, 20.21780303030304, 43.8, 2.96, -27.71, 24.07, 2.2, Feb 26 AMC
ANTM, Anthem Inc., 56.38B, 68, Healthcare, Health Care Plans, A+, C+, A-, F, 8.26, 0.7, 0.54, 1.69, 13.53, 4.6, 6.5, 0, 15.5, 6.3, 31.1, 13.7, 16.3, 17.3, 140.7, -28.69, -29.74, -11.14, -30.01, -26.51, -10.3, -19.8, -22.9, 1.8, 1.39, 94.4, 0.1, -11.36, 342.5, 214.3, 59.82267848810079, 42.8, 1.76, -32.35, 23.6, 0, Apr 29 BMO
AON, Aon plc, 36.40B, 59, Financial, Insurance Brokers, B-, B, B+, F, 13.55, 2.08, 3.3, 10.94, 30.33, 13.9, 19.8, 0, 39.6, 5.3, 37.1, 12.08, 11.88, 4.2, 6.3, -30.26, -24.68, -15.45, -24.5, -8.96, -7.9, -22.3, -20.5, 1.1, 3.12, 94.2, 0.7, -4.89, 227.8, 153.6, 48.30729166666668, 37.0, 1.75, -33.98, 9.26, 1.1, May 01 BMO
AOS, A. O. Smith Corporation, 5.89B, 55, Industrial Goods, Industrial Electrical Equipment, B+, B+, D+, F, 14.16, 2.02, 1.97, 3.51, 24.28, 12.4, 15.8, 39.5, 21.8, 11.9, -14.0, 14.58, 8.0, -7.6, -24.9, -11.41, -24.76, -20.47, -24.56, -34.06, -6.6, -12.8, -21.4, 2.6, 0.42, 0, 0.4, -1.71, 43.3, 35.6, 21.629213483146053, 41.5, 6.66, -36.57, 6.32, 2.0, Apr 28 BMO
APA, Apache Corporation, 2.10B, 37, Basic Materials, Independent Oil & Gas, B-, D, C-, F, 0, 0, 0.33, 0.54, 0.97, -56.3, -42.3, 77.1, -61.5, -17.1, 0, 44.9, 0, -4.6, 0, -81.34, -81.51, -79.78, -81.67, -85.81, -38.4, -76.1, -79.7, 2.1, 0.22, 0, 0.2, 0, 15.6, 4.0, 290.0, 24.4, 4.84, -87.7, 23.42, 1.1, Feb 26 AMC
APD, Air Products and Chemicals Inc., 44.74B, 63, Basic Materials, Chemicals - Major Diversified, B-, B+, B, F, 18.72, 1.84, 5.0, 3.72, 0, 21.1, 25.1, 33.9, 16.7, 9.8, 2.9, 12.18, 12.38, 1.4, 42.5, -18.0, -15.85, -7.59, -17.23, 1.45, -2.8, -13.9, -13.8, 2.7, 1.65, 87.4, 0.3, 0.03, 249.4, 189.2, 31.818181818181827, 45.0, 1.22, -24.32, 16.17, 2.6, Apr 23 BMO
APH, Amphenol Corporation, 21.85B, 53, Technology, Diversified Electronics, B, B+, C, F, 17.29, 3.01, 2.66, 4.51, 23.55, 14.0, 19.5, 31.8, 27.2, 10.9, -9.2, 14.12, 6.1, -3.3, -12.1, -29.11, -37.05, -26.37, -36.47, -31.87, -10.5, -24.7, -28.6, 1.4, 1.0, 97.9, 0.2, -50.95, 98.5, 69.5, 41.726618705035975, 35.7, 1.01, -37.63, 9.06, 2.0, Apr 22 BMO
ATO, Atmos Energy Corporation, 11.77B, 50, Utilities, Gas Utilities, C+, C, B-, F, 19.4, 3.08, 4.06, 1.92, 0, 0, 0, 71.9, 0, 0, 8.8, 7.24, 7.1, -0.3, 9.1, -13.76, -11.79, -12.67, -12.95, -4.08, -1.3, -10.6, -11.0, 2.3, 2.68, 86.2, 1.1, -0.3, 115.1, 94.6, 21.67019027484144, 47.0, 4.26, -19.58, 24.96, 1.0, May 05 AMC
ATVI, Activision Blizzard Inc., 47.38B, 70, Technology, Multimedia & Graphics Software, B-, B+, C+, C, 21.56, 3.54, 7.3, 3.65, 27.63, 23.2, 24.8, 67.7, 12.4, 8.2, -0.3, 14.69, 8.82, -16.6, 51.1, -2.83, 3.63, 16.33, 2.29, 27.56, 6.9, 2.6, 11.6, 0.6, -0.26, 92.6, 0.5, -4.89, 68.1, 57.5, 18.43478260869564, 55.6, 2.65, -5.81, 45.27, 2.5, May 07 AMC
AVB, AvalonBay Communities Inc., 17.94B, 47, Financial, REIT - Residential, C+, B+, D+, F, 26.07, 9.5, 7.72, 1.72, 37.62, 33.7, 27.0, 67.0, 7.2, 4.1, -20.1, 7.32, 2.54, 2.6, -57.0, -37.84, -34.69, -37.05, -35.46, -33.12, -18.3, -31.6, -34.8, 4.7, -0.02, 95.8, 0.3, -8.16, 215.0, 138.0, 55.79710144927537, 36.3, 1.53, -41.0, 14.53, 0, May 06 AMC
AVGO, Broadcom Inc., 99.90B, 52, Technology, Semiconductor - Broad Line, B, B, C-, F, 9.91, 3.17, 4.41, 3.87, 20.36, 11.2, 15.9, 55.4, 10.9, 3.5, -44.3, 10.12, 12.35, 1.2, -36.5, -16.95, -26.47, -12.22, -24.99, -22.07, 5.5, -13.3, -18.0, 5.48, -0.64, 86.8, 0.2, -42.22, 293.9, 223.6, 31.440071556350617, 49.2, 1.08, -28.51, 52.28, 1.6, Mar 12 AMC
AVY, Avery Dennison Corporation, 8.12B, 52, Consumer Goods, Business Equipment, B, B-, C+, F, 13.15, 2.87, 1.15, 6.64, 24.07, 4.3, 3.5, 26.9, 28.1, 5.6, -32.8, 7.85, 9.37, 0.2, 70.5, -21.24, -25.84, -12.35, -26.69, -15.34, -7.7, -20.1, -20.3, 2.4, -0.26, 91.7, 0.5, -6.21, 129.8, 95.9, 35.34932221063608, 40.9, 1.64, -32.03, 24.61, 1.0, Apr 29 BMO
AWK, American Water Works Company Inc., 21.29B, 59, Utilities, Water Utilities, C+, B+, C+, D, 27.77, 4.18, 5.9, 3.48, 0, 17.2, 32.3, 57.2, 10.2, 2.8, 6.7, 9.97, 8.2, 6.1, -22.7, -16.16, -2.13, -4.47, -4.24, 13.08, -3.7, -9.4, -4.5, 1.7, 1.65, 90.2, 0.2, -5.42, 135.9, 112.8, 20.478723404255327, 47.1, 2.28, -16.98, 27.87, 0.6, Feb 18 AMC
AXP, American Express Company, 64.95B, 67, Financial, Credit Services, A, B+, B, F, 8.4, 1.01, 1.44, 2.7, 6.1, 14.7, 18.7, 68.5, 29.0, 3.4, 9.1, 13.12, 9.49, 8.0, 17.5, -33.74, -39.09, -32.08, -38.42, -30.66, -13.6, -31.9, -35.8, 2.2, -1.1, 86.8, 0.1, -11.16, 112.8, 77.8, 44.987146529562985, 37.7, 1.09, -44.5, 14.42, 0, Apr 24 BMO
AZO, AutoZone Inc., 19.29B, 60, Services, Auto Parts Stores, B+, B-, B+, F, 11.12, 1.23, 1.6, 0, 13.1, 13.4, 18.5, 53.7, -95.5, 14.3, 50.9, 9.97, 9.85, 2.6, 11.1, -24.91, -33.21, -24.52, -33.3, -24.0, -12.5, -20.9, -28.0, 0, -2.13, 97.9, 0.3, -41.82, 1180.0, 776.8, 51.905252317198766, 40.2, 2.64, -37.65, 16.02, 0.9, Mar 03 BMO
